source,external_id,name,name_lang,name_en,synonyms,serving_amount,serving_unit,carbs_g,protein_g,fats_g,kcal,dataset_version
crea,005410,"Lattuga, fresca",it,,cat3,100,g,2.2,1.8,0.4,22,crea-2019
crea,005420,"Lattuga, a cappuccio, fresca",it,,cat3,100,g,3,1.5,0.2,22,crea-2019
crea,005430,"Lattuga, da taglio, fresca",it,,cat3,100,g,2.2,1.1,0.1,17,crea-2019
crea,005435,"Lattughino, fresco",it,,cat3,100,g,1.4,1.5,0.2,16,crea-2019
crea,005436,"Lattughino IV gamma, fresco",it,,cat3,100,g,1.4,1.4,0.2,16,crea-2019
crea,005440,"Radicchio, rosso, fresco",it,,cat3,100,g,1.6,1.4,0.1,19,crea-2019
crea,005441,"Radicchio rosso di Treviso IGP, precoce",it,,cat2,100,g,1,1.6,0.1,16,crea-2019
crea,005442,"Radicchio rosso di Treviso IGP, tardivo",it,,cat2,100,g,1.4,1.5,0.1,16,crea-2019
crea,005443,Radicchio variegato di Castelfranco IGP,it,,cat2,100,g,1.4,1.3,0.1,16,crea-2019
crea,005450,"Radicchio, verde, fresco",it,,cat3,100,g,0.5,1.9,0.5,14,crea-2019
crea,005460,"Rucola o Ruchetta, fresca",it,,cat3,100,g,3.9,2.6,0.3,30,crea-2019
crea,005465,Scarola,it,,cat3,100,g,2.3,1.1,0.3,19,crea-2019
crea,005466,"Scarola IV gamma, fresca",it,,cat3,100,g,2.2,0.9,0.2,17,crea-2019
crea,005470,"Tarassaco o dente di leone, fresco",it,,cat3,100,g,3.7,3.1,1.1,37,crea-2019
crea,005500,"Melanzane, crude",it,,cat3,100,g,2.6,1,0.4,23,crea-2019
crea,005506,"Melanzane, cotte, in padella",it,,cat3,100,g,5.4,1.3,0.7,39,crea-2019
crea,005507,"Melanzane, cotte, al microonde",it,,cat3,100,g,3,0.8,0.4,23,crea-2019
crea,005600,"Peperoni, crudi",it,,cat3,100,g,4.2,0.9,0.3,26,crea-2019
crea,005606,"Peperoni, cotti, in padella",it,,cat3,100,g,24.3,5.2,1.5,143,crea-2019
crea,005610,"Peperoni, rossi e gialli, crudi",it,,cat3,100,g,6.7,0.9,0.3,35,crea-2019
crea,005620,"Peperoni, gialli, crudi",it,,cat3,100,g,6.8,0.9,0.2,35,crea-2019
crea,005624,"Peperoni, gialli, cotti, al microonde",it,,cat3,100,g,8.1,1.1,0.2,41,crea-2019
crea,005630,"Peperoni, rossi, crudi",it,,cat3,100,g,6.5,0.9,0.3,34,crea-2019
crea,005634,"Peperoni, rossi, cotti, al microonde",it,,cat3,100,g,7.9,1.1,0.4,42,crea-2019
crea,005640,"Peperoni, verdi, crudi",it,,cat3,100,g,6,0.7,0.2,31,crea-2019
crea,005650,"Porri, crudi",it,,cat3,100,g,5.2,2.1,0.1,35,crea-2019
crea,005655,"Porri, cotti, bolliti",it,,cat3,100,g,5.3,2.1,0.1,35,crea-2019
crea,005660,"Rape, crude",it,,cat3,100,g,4,1,0,24,crea-2019
crea,005665,"Rape, cotte, bollite",it,,cat3,100,g,4.3,1.1,0,26,crea-2019
crea,005670,"Ravanelli, freschi",it,,cat3,100,g,1.8,0.8,0.1,13,crea-2019
crea,005680,"Sedano, crudo",it,,cat3,100,g,2.4,2.3,0.2,23,crea-2019
