source,external_id,name,name_lang,name_en,synonyms,serving_amount,serving_unit,carbs_g,protein_g,fats_g,kcal,dataset_version
cofid,17-738,"Fruit juice drink/squash, undiluted",en,,"Lemon, orange, apple and mixed fruit flavours PCC",100,g,8.9,0.1,0,34,cofid-2021
cofid,17-739,"Fruit juice drink/squash, no sugar added, undiluted",en,,"10 samples, 2 brands; lemon, orange and mixed fruit flavours, typicall less than 3% sugar PCC",100,g,1.4,0.1,0,6,cofid-2021
cofid,17-740,"High juice drink, undiluted",en,,"Typically 50% juice with 35-45% sugar. Estimated from high juice drink, undiluted and label data PCC",100,g,42.6,0.3,0,161,cofid-2021
cofid,17-741,"Fruit juice drink/squash, ready to drink",en,,"Lemon, orange, apple and mixed fruit flavours, as purchased PCC",100,g,9.8,0.1,0,37,cofid-2021
cofid,17-742,"Fruit juice drink, no added sugar, ready to drink",en,,"Typically less than 3% sugar, as purchased. 10 samples, 2 brands PCC",100,g,0.9,0.2,0,4,cofid-2021
cofid,17-743,"Barley water, undiluted",en,,Orange and lemon flavours PCC,100,g,23.7,0.3,0,90,cofid-2021
cofid,17-744,Cranberry fruit juice drink,en,,Manufacturers' data and literature PE,100,g,12.1,0,0,45,cofid-2021
cofid,17-745,"Grape juice, unsweetened",en,,"10 samples, 6 brands; 100% red juice PE",100,g,16,0.3,0.1,62,cofid-2021
cofid,17-746,"Fruit juice, mixed",en,,"Estimated from apple and orange juice and industry data, 2013 PE",100,g,10.3,0.4,0,40,cofid-2021
cofid,17-747,Smoothies,en,,"Retail, chilled, yellow and red fruit smoothies. Not made with milk. PE",100,g,12.2,0.5,0.1,49,cofid-2021
cofid,17-748,"Beer, bitter, strong (>5% ABV)",en,,">5% ABV, including Old Speckled Hen, Hobgoblin, Old Peculier, Leffe and Marston's Old Empire QA",100,ml,2.2,0.3,0,42,cofid-2021
cofid,17-749,"Lager, standard",en,,"<4.5% ABV, canned and draught, including Skol, Hofmeister, Tennents, Carling Black Label, Stella Artois and Foster's QA",100,ml,0,0.3,0,24,cofid-2021
cofid,17-750,"Lager, low alcohol",en,,"2-3% ABV. 10 samples, including  Bavaria Permium, Carling Zest, Carling C2, Beck's Premier Light and own brand QA",100,ml,0.5,0.3,0,16,cofid-2021
cofid,17-751,"Lager, premium",en,,"Approx. 5% ABV, 10 samples including Bitburger Pils, San Miguel, Stella Artois, Bud, Kronenbourg, Grolsch, Beck's and Carlsberg Export QA",100,ml,0,0.3,0,29,cofid-2021
cofid,17-752,"Wine, red",en,,Typically 11-15% ABV. Mixed sample from different countries QE,100,ml,0.2,0.1,0,76,cofid-2021
cofid,17-754,"Wine, rose, medium",en,,9.5-13.5% ABV. 5 samples from different countries QE,100,ml,2.5,0.1,0,79,cofid-2021
cofid,17-755,"Wine, white, dry",en,,11-14% ABV. 5 samples from different countries QE,100,ml,0.6,0.1,0,75,cofid-2021
cofid,17-756,"Wine, white, medium",en,,8-13% ABV. Mixed sample from different countries QE,100,ml,3,0.1,0,75,cofid-2021
cofid,17-757,"Wine, white, sparkling",en,,"Approx. 11.5% ABV. 5 samples from different countries, not including champagne QE",100,ml,5.1,0.3,0,84,cofid-2021
cofid,17-758,Pre-mixed spirit based drinks,en,,"Approx. 4% ABV, including WKD,  Bacardi Breezer, Smirnoff Ice and Carribean Twist Q",100,ml,8,0,0,52,cofid-2021
cofid,17-759,"Suet, vegetable, reduced fat",en,,Manufacturer's data (Atora) OF,100,g,31.1,2.5,65.7,718,cofid-2021
